Key,Source,Context,Changes,Spanish,japanese,german
RecuperateRank5LongDesc,progression,skills,New,"Recupera un 0.15 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.15回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.15 Lebensenergie pro Sekunde.
RecuperateRank6LongDesc,progression,skills,New,"Recupera un 0.17 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.17回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.17 Lebensenergie pro Sekunde.
RecuperateRank7LongDesc,progression,skills,New,"Recupera un 0.19 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.19回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.19 Lebensenergie pro Sekunde.
RecuperateRank8LongDesc,progression,skills,New,"Recupera un 0.21 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.21回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.21 Lebensenergie pro Sekunde.
RecuperateRank9LongDesc,progression,skills,New,"Recupera un 0.23 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.23回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.23 Lebensenergie pro Sekunde.
RecuperateRank10LongDesc,progression,skills,New,"Recupera un 0.25 adicional de salud por segundo en todo momento",1秒ごとにヘルスを0.25回復させます。,Regeneriere unter allen Bedingungen zusätzliche 0.25 Lebensenergie pro Sekunde.

SuperiorMetabolismName,progression,skills,New,Metabolismo Superior,優れた新陳代謝,Überlegener Stoffwechsel
SuperiorMetabolismDesc,progression,skills,New,"Tu organismo lo toma con calma. Pierde menos comida y agua por esfuerzo físico.",あなたの組織はより優れた代謝を獲得します。肉体労働時の飲食物の消耗を抑えます。,"Dein Organismus lässt es ruhiger angehen. Du verbrauchst weniger Nahrungs- und Wasserreserven durch körperliche Anstrengung."
SuperiorMetabolismRank1Desc,progression,skills,New,"-3% Pérdida de comida y agua",飲食物消耗-3%,-3% Nahrungs- und Wasserverlust
SuperiorMetabolismRank2Desc,progression,skills,New,"-6% Pérdida de comida y agua",飲食物消耗-6%,-6% Nahrungs- und Wasserverlust
SuperiorMetabolismRank3Desc,progression,skills,New,"-9% Pérdida de comida y agua",飲食物消耗-9%,-9% Nahrungs- und Wasserverlust
SuperiorMetabolismRank4Desc,progression,skills,New,"-12% Pérdida de comida y agua",飲食物消耗-12%,-12% Nahrungs- und Wasserverlust
SuperiorMetabolismRank5Desc,progression,skills,New,"-15% Pérdida de comida y agua",飲食物消耗-15%,-15% Nahrungs- und Wasserverlust
SuperiorMetabolismRank6Desc,progression,skills,New,"-17% Pérdida de comida y agua",飲食物消耗-17%,-17% Nahrungs- und Wasserverlust
SuperiorMetabolismRank7Desc,progression,skills,New,"-19% Pérdida de comida y agua",飲食物消耗-19%,-19% Nahrungs- und Wasserverlust
SuperiorMetabolismRank8Desc,progression,skills,New,"-21% Pérdida de comida y agua",飲食物消耗-21%,-21% Nahrungs- und Wasserverlust
SuperiorMetabolismRank9Desc,progression,skills,New,"-23% Pérdida de comida y agua",飲食物消耗-23%,-23% Nahrungs- und Wasserverlust
SuperiorMetabolismRank10Desc,progression,skills,New,"-25% Pérdida de comida y agua",飲食物消耗-25%,-25% Nahrungs- und Wasserverlust
SuperiorMetabolismRank1LongDesc,progression,skills,New,"Pierde un 3% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を3%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 3%. 
SuperiorMetabolismRank2LongDesc,progression,skills,New,"Pierde un 6% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を6%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 6%. 
SuperiorMetabolismRank3LongDesc,progression,skills,New,"Pierde un 9% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を9%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 9%. 
SuperiorMetabolismRank4LongDesc,progression,skills,New,"Pierde un 12% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を12%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 12%. 
SuperiorMetabolismRank5LongDesc,progression,skills,New,"Pierde un 15% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を15%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 15%. 
SuperiorMetabolismRank6LongDesc,progression,skills,New,"Pierde un 17% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を17%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 17%. 
SuperiorMetabolismRank7LongDesc,progression,skills,New,"Pierde un 19% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を19%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 19%. 
SuperiorMetabolismRank8LongDesc,progression,skills,New,"Pierde un 21% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を21%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 21%. 
SuperiorMetabolismRank9LongDesc,progression,skills,New,"Pierde un 23% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を23%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 23%. 
SuperiorMetabolismRank10LongDesc,progression,skills,New,"Pierde un 25% menos de comida y agua por esfuerzo físico.",食べ物と飲み物の消耗速度を25%軽減させます。,Reduziere deinen Nahrungs- und Wasserverlust durch körperliche Anstrengung um 25%. 

MobilityName,progression,skills,New,Movilidad,機動性,Wendigkeit
MobilityDesc,progression,skills,New,"Correr cientos y miles de kilometros te ha dejado unas piernas fuertes. Ahora puedes moverte mucho más rápido sin importar las circunstancias.",長い距離を歩き続けることで効率的な歩き方を身に着け、状況に左右されずに速く動けるようになりました。,"Tausende von Kilometern zu rennnen, hat dir ein Paar ziemlich durchtrainierter Beine verschafft. Du kannst dich nun, ungeachtet der Bedingungen, schneller bewegen."
MobilityRank1Desc,progression,skills,New,"+4% Movilidad",移動速度+4%,+4% Lauftempo
MobilityRank2Desc,progression,skills,New,"+8% Movilidad",移動速度+8%,+8% Lauftempo
MobilityRank3Desc,progression,skills,New,"+12% Movilidad",移動速度+12%,+12% Lauftempo
MobilityRank4Desc,progression,skills,New,"+16% Movilidad",移動速度+16%,+16% Lauftempo
MobilityRank5Desc,progression,skills,New,"+20% Movilidad",移動速度+20%,+20% Lauftempo
MobilityRank6Desc,progression,skills,New,"+22% Movilidad",移動速度+22%,+22% Lauftempo
MobilityRank7Desc,progression,skills,New,"+24% Movilidad",移動速度+24%,+24% Lauftempo
MobilityRank8Desc,progression,skills,New,"+26% Movilidad",移動速度+26%,+26% Lauftempo
MobilityRank9Desc,progression,skills,New,"+28% Movilidad",移動速度+28%,+28% Lauftempo
MobilityRank10Desc,progression,skills,New,"+30% Movilidad",移動速度+30%,+30% Lauftempo
MobilityRank1LongDesc,progression,skills,New,"Aumenta tu movilidad en 4%",あなたの移動速度を4%増加させます。,Erhöhe dein Lauftempo um 4%.
MobilityRank2LongDesc,progression,skills,New,"Aumenta tu movilidad en 8%",あなたの移動速度を8%増加させます。,Erhöhe dein Lauftempo um 8%.
MobilityRank3LongDesc,progression,skills,New,"Aumenta tu movilidad en 12%",あなたの移動速度を12%増加させます。,Erhöhe dein Lauftempo um 12%.
MobilityRank4LongDesc,progression,skills,New,"Aumenta tu movilidad en 16%",あなたの移動速度を16%増加させます。,Erhöhe dein Lauftempo um 16%.
MobilityRank5LongDesc,progression,skills,New,"Aumenta tu movilidad en 20%",あなたの移動速度を20%増加させます。,Erhöhe dein Lauftempo um 20%.
MobilityRank6LongDesc,progression,skills,New,"Aumenta tu movilidad en 22%",あなたの移動速度を22%増加させます。,Erhöhe dein Lauftempo um 22%.
MobilityRank7LongDesc,progression,skills,New,"Aumenta tu movilidad en 24%",あなたの移動速度を24%増加させます。,Erhöhe dein Lauftempo um 24%.
MobilityRank8LongDesc,progression,skills,New,"Aumenta tu movilidad en 26%",あなたの移動速度を26%増加させます。,Erhöhe dein Lauftempo um 26%.
MobilityRank9LongDesc,progression,skills,New,"Aumenta tu movilidad en 28%",あなたの移動速度を28%増加させます。,Erhöhe dein Lauftempo um 28%.
MobilityRank10LongDesc,progression,skills,New,"Aumenta tu movilidad en 30%",あなたの移動速度を30%増加させます。,Erhöhe dein Lauftempo um 30%.

MiningMasteryName,progression,skills,New,"Dominio de la minería",マイニングマスター,Bergbau-Experte
MiningMasteryDesc,progression,skills,New,"Has adquirido el conocimiento de como obtener mejores y más recursos al minar.",資源採掘をしながら、より多くの資源を集めるための知識を身につけました。,"Du hast herausgefunden, wie du mehr Ressourcen beim Abbauen gewinnen kannst."
MiningMasteryRank1Desc,progression,skills,New,"+6% más piedra, mineral y madera",資源回収量+6%,"+6% mehr Steine, Erz und Holz"
MiningMasteryRank2Desc,progression,skills,New,"+12% más piedra, mineral y madera",資源回収量+12%,"+12% mehr Steine, Erz und Holz"
MiningMasteryRank3Desc,progression,skills,New,"+18% más piedra, mineral y madera",資源回収量+18%,"+18% mehr Steine, Erz und Holz"
MiningMasteryRank4Desc,progression,skills,New,"+24% más piedra, mineral y madera",資源回収量+24%,"+24% mehr Steine, Erz und Holz"
MiningMasteryRank5Desc,progression,skills,New,"+30% más piedra, mineral y madera\n+10% Daño en bloque",資源回収量+30%\nブロックダメージ+10%,"+30% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank6Desc,progression,skills,New,"+34% más piedra, mineral y madera\n+10% Daño en bloque",資源回収量+34%\nブロックダメージ+10%,"+34% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank7Desc,progression,skills,New,"+38% más piedra, mineral y madera\n+10% Daño en bloque",資源回収量+38%\nブロックダメージ+10%,"+38% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank8Desc,progression,skills,New,"+42% más piedra, mineral y madera\n+10% Daño en bloque",資源回収量+42%\nブロックダメージ+10%,"+42% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank9Desc,progression,skills,New,"+46% más piedra, mineral y madera\n+10% Daño en bloque",資源回収量+46%\nブロックダメージ+10%,"+46% mehr Steine, Erz und Holz\n+10% Blockschaden"
MiningMasteryRank10Desc,progression,skills,New,"+50% más piedra, mineral y madera\n+20% Daño en bloque",資源回収量+50%\nブロックダメージ+20%,"+50% mehr Steine, Erz und Holz\n+20% Blockschaden"
MiningMasteryRank1LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 6%",石材、鉱石、木材の収集量を6%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 6% erhöht."
MiningMasteryRank2LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 12%",石材、鉱石、木材の収集量を12%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 12% erhöht."
MiningMasteryRank3LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 18%",石材、鉱石、木材の収集量を18%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 18% erhöht."
MiningMasteryRank4LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 24%",石材、鉱石、木材の収集量を24%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 24% erhöht."
MiningMasteryRank5LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 30%\nAumenta cualquier daño a bloques en 10%.",石材、鉱石、木材の収集量を30%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 30% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank6LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 34%\nAumenta cualquier daño a bloques en 10%.",石材、鉱石、木材の収集量を34%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 34% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank7LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 38%\nAumenta cualquier daño a bloques en 10%.",石材、鉱石、木材の収集量を38%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 38% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank8LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 42%\nAumenta cualquier daño a bloques en 10%.",石材、鉱石、木材の収集量を42%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 42% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank9LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 46%\nAumenta cualquier daño a bloques en 10%.",石材、鉱石、木材の収集量を46%上昇させ、ブロックに対するダメージを10%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 46% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 10%."
MiningMasteryRank10LongDesc,progression,skills,New,"La obtención de piedra, mineral y madera incrementa en 50%\nAumenta cualquier daño a bloques en 20%.",石材、鉱石、木材の収集量を50%上昇させ、ブロックに対するダメージを20%上昇させます。,"Sammelrate von Steinen, Erzen und Holz um 50% erhöht.\n Erhöhe zudem jeglichen Blockschaden um 20%."

ToolMasteryName,progression,skills,New,Dominio de Herramientas,ツールマスター,Werkzeug-Experte
ToolMasteryDesc,progression,skills,New,"Golpear toda clase de materiales día y noche te ha hecho mejorar. Eres mucho más fuerte ahora.",昼夜問わずいろんな素材を叩くことでより強く、より早くツールを扱えるようになった。,"Durch das tagtägliche Abbauen diverser Materialien, bist du ziemlich muskulös und stark geworden."
ToolMasteryRank1Desc,progression,skills,New,"+12% Daño en bloque\n+6% Velocidad de Ataque",ツールダメージ+12%\n攻撃速度+6%,+12% Blockschaden\n+6% Angriffstempo
ToolMasteryRank2Desc,progression,skills,New,"+24% Daño en bloque\n+12% Velocidad de Ataque",ツールダメージ+24%\n攻撃速度+12%,+24% Blockschaden\n+12% Angriffstempo
ToolMasteryRank3Desc,progression,skills,New,"+36% Daño en bloque\n+18% Velocidad de Ataque",ツールダメージ+36%\n攻撃速度+18%,+36 Blockschaden\n+18% Angriffstempo
ToolMasteryRank4Desc,progression,skills,New,"+48% Daño en bloque\n+24% Velocidad de Ataque",ツールダメージ+48%\n攻撃速度+24%,+48% Blockschaden\n+24% Angriffstempo
ToolMasteryRank5Desc,progression,skills,New,"+60% Daño en bloque\n+30% Velocidad de Ataque\n-15% Daño por caida de bloques",ツールダメージ+60%\n攻撃速度+30%崩落ダメージ-15%,+60% Blockschaden\n+30% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank6Desc,progression,skills,New,"+68% Daño en bloque\n+34% Velocidad de Ataque\n-15% Daño por caida de bloques",ツールダメージ+68%\n攻撃速度+34%崩落ダメージ-15%,+68% Blockschaden\n+34% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank7Desc,progression,skills,New,"+76% Daño en bloque\n+38% Velocidad de Ataque\n-15% Daño por caida de bloques",ツールダメージ+76%\n攻撃速度+38%崩落ダメージ-15%,+76% Blockschaden\n+38% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank8Desc,progression,skills,New,"+84% Daño en bloque\n+42% Velocidad de Ataque\n-15% Daño por caida de bloques",ツールダメージ+84%\n攻撃速度+42%崩落ダメージ-15%,+84% Blockschaden\n+42% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank9Desc,progression,skills,New,"+92% Daño en bloque\n+46% Velocidad de Ataque\n-15% Daño por caida de bloques",ツールダメージ+92%\n攻撃速度+46%崩落ダメージ-15%,+92% Blockschaden\n+46% Angriffstempo\n-15% Schaden durch fallende Blöcke.
ToolMasteryRank10Desc,progression,skills,New,"+100% Daño en bloque\n+50% Velocidad de Ataque\n-30% Daño por caida de bloques",ツールダメージ+100%\n攻撃速度+50%崩落ダメージ-30%,+100% Blockschaden\n+50% Angriffstempo\n-30% Schaden durch fallende Blöcke.
ToolMasteryRank1LongDesc,progression,skills,New,"Aumenta el daño a bloques en 12% y la velocidad de ataque con herramientas en 6%",あなたのツールのダメージを12%攻撃速度を6%上昇させます。,"Erhöhe deinen Blockschaden um 12% und dein Angriffstempo um 6%, solange du Werkzeug benutzt."
ToolMasteryRank2LongDesc,progression,skills,New,"Aumenta el daño a bloques en 24% y la velocidad de ataque con herramientas en 12%",あなたのツールのダメージを24%攻撃速度を12%上昇させます。,"Erhöhe deinen Blockschaden um 24% und dein Angriffstempo um 12%, solange du Werkzeug benutzt."
ToolMasteryRank3LongDesc,progression,skills,New,"Aumenta el daño a bloques en 36% y la velocidad de ataque con herramientas en 18%",あなたのツールのダメージを36%攻撃速度を18%上昇させます。,"Erhöhe deinen Blockschaden um 36% und dein Angriffstempo um 18%, solange du Werkzeug benutzt."
ToolMasteryRank4LongDesc,progression,skills,New,"Aumenta el daño a bloques en 48% y la velocidad de ataque con herramientas en 24%",あなたのツールのダメージを48%攻撃速度を24%上昇させます。,"Erhöhe deinen Blockschaden um 48% und dein Angriffstempo um 24%, solange du Werkzeug benutzt."
ToolMasteryRank5LongDesc,progression,skills,New,"Aumenta el daño a bloques en 60% y la velocidad de ataque con herramientas en 30%. Disminuye el daño que recibes por caida de bloques en 15%, si estas usando herramientas.",あなたのツールのダメージを60%攻撃速度を30%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 60% und dein Angriffstempo um 30%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank6LongDesc,progression,skills,New,"Aumenta el daño a bloques en 68% y la velocidad de ataque con herramientas en 34%. Disminuye el daño que recibes por caida de bloques en 15%, si estas usando herramientas.",あなたのツールのダメージを68%攻撃速度を34%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 68% und dein Angriffstempo um 34%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank7LongDesc,progression,skills,New,"Aumenta el daño a bloques en 76% y la velocidad de ataque con herramientas en 38%. Disminuye el daño que recibes por caida de bloques en 15%, si estas usando herramientas.",あなたのツールのダメージを76%攻撃速度を38%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 76% und dein Angriffstempo um 38%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank8LongDesc,progression,skills,New,"Aumenta el daño a bloques en 84% y la velocidad de ataque con herramientas en 42%. Disminuye el daño que recibes por caida de bloques en 15%, si estas usando herramientas.",あなたのツールのダメージを84%攻撃速度を42%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 84% und dein Angriffstempo um 42%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank9LongDesc,progression,skills,New,"Aumenta el daño a bloques en 92% y la velocidad de ataque con herramientas en 46%. Disminuye el daño que recibes por caida de bloques en 15%, si estas usando herramientas.",あなたのツールのダメージを92%攻撃速度を46%上昇させ、崩落に巻き込まれた際のダメージを-15%します。,"Erhöhe deinen Blockschaden um 92% und dein Angriffstempo um 46%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 15%."
ToolMasteryRank10LongDesc,progression,skills,New,"Aumenta el daño a bloques en 100% y la velocidad de ataque con herramientas en 50%. Disminuye el daño que recibes por caida de bloques en 30%, si estas usando herramientas.",あなたのツールのダメージを100%攻撃速度を50%上昇させ、崩落に巻き込まれた際のダメージを-30%します。,"Erhöhe deinen Blockschaden um 100% und dein Angriffstempo um 50%, solange du Werkzeug benutzt. Verringert zudem deinen erlittenen Schaden aus fallenden Blöcken um 30%."

ClubMasteryName,progression,skills,New,Dominio del Garrote,棍棒マスター,Keulen-Experte
ClubMasteryDesc,progression,skills,New,"Has dominado el arte con el Garrote".,棍棒の扱いをマスターした。,Du hast dich auf das Kämpfen mit Keulen spezialisiert.
ClubMasteryRank1Desc,progression,skills,New,"+6% Daño a entidades y velocidad de ataque",ダメージ&攻撃速度+6%,"+6% Schaden, Angriffstempo"
ClubMasteryRank2Desc,progression,skills,New,"+12% Daño a entidades y velocidad de ataque",ダメージ&攻撃速度+12%,"+12% Schaden, Angriffstempo"
ClubMasteryRank3Desc,progression,skills,New,"+18% Daño a entidades y velocidad de ataque",ダメージ&攻撃速度+18%,"+18% Schaden, Angriffstempo"
ClubMasteryRank4Desc,progression,skills,New,"+24% Daño a entidades y velocidad de ataque",ダメージ&攻撃速度+24%,"+24% Schaden, Angriffstempo"
ClubMasteryRank5Desc,progression,skills,New,"+30% Daño a entidades y velocidad de ataque\n+15% Daño al correr",ダメージ&攻撃速度+30%\nダッシュ時ダメージ+15%,"+30% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank6Desc,progression,skills,New,"+34% Daño a entidades y velocidad de ataque\n+15% Daño al correr",ダメージ&攻撃速度+34%\nダッシュ時ダメージ+15%,"+34% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank7Desc,progression,skills,New,"+38% Daño a entidades y velocidad de ataque\n+15% Daño al correr",ダメージ&攻撃速度+38%\nダッシュ時ダメージ+15%,"+38% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank8Desc,progression,skills,New,"+42% Daño a entidades y velocidad de ataque\n+15% Daño al correr",ダメージ&攻撃速度+42%\nダッシュ時ダメージ+15%,"+42% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank9Desc,progression,skills,New,"+46% Daño a entidades y velocidad de ataque\n+15% Daño al correr",ダメージ&攻撃速度+46%\nダッシュ時ダメージ+15%,"+46% Schaden, Angriffstempo\n+15% Sprintschaden."
ClubMasteryRank10Desc,progression,skills,New,"+50% Daño a entidades y velocidad de ataque\n+30% Daño al correr",ダメージ&攻撃速度+50%\nダッシュ時ダメージ+30%,"+50% Schaden, Angriffstempo\n+30% Sprintschaden."
ClubMasteryRank1LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 6%",攻撃力と攻撃速度を6%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 6%."
ClubMasteryRank2LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 12%",攻撃力と攻撃速度を12%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 12%."
ClubMasteryRank3LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 18%",攻撃力と攻撃速度を18%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 18%."
ClubMasteryRank4LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 24%",攻撃力と攻撃速度を24%上昇させます。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 24%."
ClubMasteryRank5LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 30%. El daño aumenta un 15% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を30%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 30%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank6LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 34%. El daño aumenta un 15% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を34%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 34%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank7LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 38%. El daño aumenta un 15% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を38%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 38%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank8LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 42%. El daño aumenta un 15% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を42%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 42%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank9LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 46%. El daño aumenta un 15% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を46%上昇させ、ダッシュ攻撃時のダメージを+15%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 46%. Der Schaden erhöht sich um weitere 15%, wenn du ein Ziel triffst, während du sprintest."
ClubMasteryRank10LongDesc,progression,skills,New,"Aumenta el daño a entidades y tu velocidad de ataque con garrotes en 50%. El daño aumenta un 30% adicional si golpeas un objetivo mientras corres.",攻撃力と攻撃速度を50%上昇させ、ダッシュ攻撃時のダメージを+30%します。,"Erhöhe deinen Schaden und dein Angriffstempo mit Keulen um 50%. Der Schaden erhöht sich um weitere 30%, wenn du ein Ziel triffst, während du sprintest."

SledgeMasteryName,progression,skills,New,Dominio con el Mazo,スレッジハンマーマスター,Hammer-Experte
SledgeMasteryDesc,progression,skills,New,"Has dominado el arte del Mazo".,スレッジハンマーの扱いをマスターした。,Du hast dich auf das Kämpfen mit Vorschlaghämmern spezialisiert.
SledgeMasteryRank1Desc,progression,skills,New,"+6% Daño a entidades y velocidad de ataque\n+24% Daño a Bloques",対ブロックダメージ+24%\n対エンテティダメージ&攻撃速度+6%,"+6% Schaden, Angriffstempo\n+24% Blockschaden"
SledgeMasteryRank2Desc,progression,skills,New,"+12% Daño a entidades y velocidad de ataque\n+48% Daño a Bloques",対ブロックダメージ+48%\n対エンテティダメージ&攻撃速度+12%,"+12% Schaden, Angriffstempo\n+48% Blockschaden"
SledgeMasteryRank3Desc,progression,skills,New,"+18% Daño a entidades y velocidad de ataque\n+72% Daño a Bloques",対ブロックダメージ+72%\n対エンテティダメージ&攻撃速度+18%,"+18% Schaden, Angriffstempo\n+72% Blockschaden"
SledgeMasteryRank4Desc,progression,skills,New,"+24% Daño a entidades y velocidad de ataque\n+96% Daño a Bloques",対ブロックダメージ+96%\n対エンテティダメージ&攻撃速度+24%,"+24% Schaden, Angriffstempo\n+96% Blockschaden"
SledgeMasteryRank5Desc,progression,skills,New,"+30% Daño a entidades y velocidad de ataque\n+120% Daño a Bloques",対ブロックダメージ+120%\n対エンテティダメージ&攻撃速度+30%,"+30% Schaden, Angriffstempo\n+120% Blockschaden"
SledgeMasteryRank6Desc,progression,skills,New,"+34% Daño a entidades y velocidad de ataque\n+136% Daño a Bloques",対ブロックダメージ+136%\n対エンテティダメージ&攻撃速度+34%,"+34% Schaden, Angriffstempo\n+136% Blockschaden"
SledgeMasteryRank7Desc,progression,skills,New,"+38% Daño a entidades y velocidad de ataque\n+152% Daño a Bloques",対ブロックダメージ+152%\n対エンテティダメージ&攻撃速度+38%,"+38% Schaden, Angriffstempo\n+152% Blockschaden"
